Date, Precipitation (mm)
16/1/2015,77.6753
21/1/2015,6.7394
26/1/2015,15.6524
1/2/2015,50.2639
6/2/2015,2.9217
11/2/2015,9.3738
16/2/2015,4.1868
21/2/2015,5.332
26/2/2015,7.5274
1/3/2015,10.6381
6/3/2015,1.834
11/3/2015,1.4909
16/3/2015,2.4685
21/3/2015,1.6122
26/3/2015,17.858
1/4/2015,59.3909
6/4/2015,7.8797
11/4/2015,1.7522
16/4/2015,4.7031
21/4/2015,4.2897
26/4/2015,1.7754
1/5/2015,0.4679
6/5/2015,0.3376
11/5/2015,0.2411
16/5/2015,0.2248
21/5/2015,0.2069
26/5/2015,0.3072
1/6/2015,0.2393
6/6/2015,0.1772
11/6/2015,0.1515
16/6/2015,0.1395
21/6/2015,0.1207
26/6/2015,0.0905
1/7/2015,0.0442
6/7/2015,0.0081
11/7/2015,0
16/7/2015,0
21/7/2015,0
26/7/2015,0
1/8/2015,0
6/8/2015,0
11/8/2015,0
16/8/2015,0
21/8/2015,0.0206
26/8/2015,0.1103
1/9/2015,0
6/9/2015,0.0019
11/9/2015,0.04
16/9/2015,0.1509
21/9/2015,0.4665
26/9/2015,0.8582
1/10/2015,2.5021
6/10/2015,1.0097
11/10/2015,1.5101
16/10/2015,6.6233
21/10/2015,0.7651
26/10/2015,1.6183
1/11/2015,2.9
6/11/2015,1.7184
11/11/2015,5.1336
16/11/2015,20.9711
21/11/2015,3.1921
26/11/2015,17.3037
1/12/2015,43.9425
6/12/2015,13.6896
11/12/2015,11.8977
16/12/2015,14.7997
21/12/2015,4.6333
26/12/2015,11.5313
1/1/2016,7.9533
6/1/2016,10.2773
11/1/2016,23.236
16/1/2016,16.4076
21/1/2016,18.1272
26/1/2016,33.3511
1/2/2016,11.2271
6/2/2016,23.3503
11/2/2016,36.9123
16/2/2016,1.5738
21/2/2016,61.3516
26/2/2016,30.959
1/3/2016,16.977
6/3/2016,63.6119
11/3/2016,20.9031
16/3/2016,38.133
21/3/2016,7.2142
26/3/2016,1.6421
1/4/2016,1.6114
6/4/2016,0.8307
11/4/2016,0.8692
16/4/2016,1.0616
21/4/2016,1.1684
26/4/2016,1.0706
1/5/2016,0.4596
6/5/2016,0.3348
11/5/2016,0.2367
16/5/2016,0.2209
21/5/2016,0.2013
26/5/2016,0.2996
1/6/2016,0.2154
6/6/2016,0.163
11/6/2016,0.1369
16/6/2016,0.1262
21/6/2016,0.1107
26/6/2016,0.0815
1/7/2016,0.0445
6/7/2016,0.0082
11/7/2016,0
16/7/2016,0
21/7/2016,0
26/7/2016,0
1/8/2016,0
6/8/2016,0
11/8/2016,0
16/8/2016,0
21/8/2016,0.0202
26/8/2016,0.1093
1/9/2016,0
6/9/2016,0.0017
11/9/2016,0.0353
16/9/2016,0.1343
21/9/2016,0.4098
26/9/2016,0.7611
